sentence,cluster
"He that trusts to you, Where he should find you lions, finds you hares; Where foxes, geese: you are no surer, no, Than is the coal of fire upon the ice, Or hailstone in the sun.",1
"I saw him run after a gilded butterfly: and when he caught it, he let it go again; and after it again; and over and over he comes, and again; catched it again; or whether his fall enraged him, or how 'twas, he did so set his teeth and tear it; O, I warrant it, how he mammocked it!",1
It was gross.,2
"SICINIUS: Help, ye citizens!",1
"However our waiter, Jason, said he will do his best to get as out on time.",2
"For that I have not wash'd My nose that bled, or foil'd some debile wretch.-- Which, without note, here's many else have done,-- You shout me forth In acclamations hyperbolical; As if I loved my little should be dieted In praises sauced with lies.",1
"VIRGILIA: I thank your ladyship; well, good madam.",1
"I wouldn't want to see you walk in, roll your eyes and say 'Reaaaaaalllly?",2
"AUFIDIUS: Bolder, though not so subtle.",1
"They ne'er cared for us yet: suffer us to famish, and their store-houses crammed with grain; make edicts for usury, to support usurers; repeal daily any wholesome act established against the rich, and provide more piercing statutes daily, to chain up and restrain the poor.",1
"How youngly he began to serve his country, How long continued, and what stock he springs of, The noble house o' the Marcians, from whence came That Ancus Marcius, Numa's daughter's son, Who, after great Hostilius, here was king; Of the same house Publius and Quintus were, That our beat water brought by conduits hither; And Twice being Was his great ancestor.",1
I decided to leave because of a review where the staff seemed distracted or disinterested in my presence. The office admin (very nice) called me to inform I am missing my appointment.,2
"VIRGILIA: Indeed, madam?",1
"Likewise, in 2003, when other students believed that the paper showed a liberal bias, the conservative paper Irish Rover went into production.",4
"VIRGILIA: No, good madam, pardon me; indeed, I will not forth.",1
I only have two bathrooms at my house and would've been hard pressed to accommodate several violently ill people at once.,2
It is still light out.,2
"CORIOLANUS: No, take more: What may be sworn by, both divine and human, Seal what I end withal!",1
"Behold, these are the tribunes of the people, The tongues o' the common mouth: I do despise them; For they do prank them in authority, Against all noble sufferance.",1
First Senator: Call Coriolanus.,1
Luckily I am able to get around to find everything.,2
"Masters o' the people, We do request your kindest ears, and after, Your loving motion toward the common body, To yield what passes here.",1
"First Soldier: I shall, sir.",1
God save your good worships!,1
Atop the Main Building's gold dome is a golden statue of the Virgin Mary.,0
"SICINIUS: The custom of request you have discharged: The people do admit you, and are summon'd To meet anon, upon your approbation.",1
Doesn't even taste good as American style Chinese food.,2
"As at most other universities, Notre Dame's students run a number of news media outlets.",5
"The staff is friendly, the equipment is quite good.",2
Don't visit this store if you want pleasant or good service.,2
"SICINIUS: On the sudden, I warrant him consul.",1
I've worked at more than one location.,2
"Well, it all started in May when we had a man named Al come out and talk to us about the process.",2
"Worshipful mutiners, Your valour puts well forth: pray, follow.",1
"Therefore, beseech you, I may be consul.",1
COMINIUS: Take't; 'tis yours.,1
COMINIUS: Where is that slave Which told me they had beat you to your trenches?,1
"As for my country I have shed my blood, Not fearing outward force, so shall my lungs Coin words till their decay against those measles, Which we disdain should tatter us, yet sought The very way to catch them.",1
"I shall tell you A pretty tale: it may be you have heard it; But, since it serves my purpose, I will venture To stale 't a little more.",1
"So I take the initiative and ask the fine upstanding gentleman what the phone number of the order-er was, phone my neighbor and discover the mistake.",2
"It is a replica of the grotto at Lourdes, France where the Virgin Mary reputedly appeared to Saint Bernadette Soubirous in 1858.",0
"There is Aufidius; list, what work he makes Amongst your cloven army.",1
Meal was very tasty... We will definitely go back.,2
"LARTIUS: Worthy sir, thou bleed'st; Thy exercise hath been too violent for A second course of fight.",1
This place is truly a Yinzer's dream!!,2
Very inexpensive at $10 for a pair of pants to adjust the hem.,2
He also requested a copy of a certificate that the man behind the register was unable to produce.,2
All the same.,2
Went for breakfast on 6/16/14.,2
COMINIUS: 'Twas from the canon.,1
"At the end of the main drive (and in a direct line that connects through 3 statues and the Gold Dome), is a simple, modern stone statue of Mary.",0
"At that point my wife picked out a third option, ham and cabbage, only to be told again that """"they were out"""".",2
MARCIUS: See here these movers that do prize their hours At a crack'd drachm!,1
"First Citizen: We are accounted poor citizens, the patricians good.",1
"), and a side of that basic brown gravy served up in 5 gallon buckets. Thank goodness for the basic salad bar. Even my friend admitted that her pork chops were different and not what she'd expected.",2
"The service there was fabulous, as was the meal and the drinks creative and exquisite. There are new restaurants that have opened in Carnegie as of late.",2
"You being their mouths, why rule you not their teeth?",2
He then stuck some pink powder up in the extraction area.,2
Next to the Main Building is the Basilica of the Sacred Heart.,0
Have we no wine here?,2
"Immediately in front of the Main Building and facing it, is a copper statue of Christ with arms upraised with the legend ""Venite Ad Me Omnes"".",0
"My main issues with them were that things were not communicated to me properly up front, nor was the ongoing process communicated to me.",2
"BRUTUS: Seize him, AEdiles!",1
"Here are the highlights: -Cheap: Breakfast for two can be well under $10, with lunch around the same. -Crowded: Get there early and expect to wait.",2
"Your good voice, sir; what say you?",1
(CNN) -- The longest-running holiday special still has a very shiny nose.,2
They look to have a cool bar area with some modern couches and a really sweet look.,2
"VIRGILIA: But had he died in the business, madam; how then?",1
"COMINIUS: O, well begg'd!",1
"BRUTUS: Cominius, no.",1
This the courtier accepted as a good omen.,1
"My husband got a chicken parm sandwich, which is served on a yummy flat bread, and I got the chicken basil pizza ( i got an 8 cut and several ppl tried it) we all LOVED it!",2
"The rabble should have first unroof'd the city, Ere so prevail'd with me: it will in time Win upon power and throw forth greater themes For insurrection's arguing.",1
"When I was a roofing mechanic, we'd meet there before work.",2
"They have nice decor,nice bar and good bread.",2
My lettuce was drowning in the vinegar.,2
"Small, so you will want to avoid the church crowd on Sundays, but the wait is never too long.",2
"First Citizen: Very well; and could be content to give him good report fort, but that he pays himself with being proud.",1
O gods He has the stamp of Marcius; and I have Before-time seen him thus.,1
"And the root canals they said I needed, my current dentist and my endodontist both agreed that I do not need tooth canals.",2
"AEdile: Peace, peace!",1
They charged us $3.00 for the coleslaw.,2
It usually takes 2 hours of repeated calling to get an answer.,2
"The actual ravioli was okay, enough mushrooms.",2
Grimy looking hole in the wall located on one end of a seedy looking strip mall.,2
I never went back thanks to the attitude of the other members.,2
I highly recommend.,2
Barb is always here.,2
"MARCIUS: As with a man busied about decrees: Condemning some to death, and some to exile; Ransoming him, or pitying, threatening the other; Holding Corioli in the name of Rome, Even like a fawning greyhound in the leash, To let him slip at will.",1
The other side o' the city is risen: why stay we prating here?,1
No flavor or seasoning and the texture was reminiscent of spam.,2
The main guy comes back the next day and says they did it wrong.,2
"Immediately behind the basilica is the Grotto, a Marian place of prayer and reflection.",0
Very disappointed in the customer service.,2
"VOLUMNIA: Look, here's a letter from him: the state hath another, his wife another; and, I think, there's one at home for you.",1
"Not a straight shooter, but an excited salesman that wanted to sell... And we bought into it. He told us they were backed up with the harsh winter and a lot of jobs, but they could probably start by June 24th.",2
"The mixed grill, the sausage and egg on a biscuit, the home fries.",2
Atop the Main Building's gold dome is a golden statue of the Virgin Mary.,0
COMINIUS: Stand fast; We have as many friends as enemies.,1
"Sir, I pray, let me ha't: I have wounds to show you, which shall be yours in private.",1
Now that is some good service.,2
MENENIUS: What is granted them?,1
LARTIUS: Thou worthiest Marcius!,1
He will not give refills and could less about patients's financial situations.,2
"This double worship, Where one part does disdain with cause, the other Insult without all reason, where gentry, title, wisdom, Cannot conclude but by the yea and no Of general ignorance,--it must omit Real necessities, and give way the while To unstable slightness: purpose so barr'd, it follows, Nothing is done to purpose.",1
Never would she forget the effect on Tull and his men when Venters shouted Lassiter's name.,1
"First Soldier: See, they have shut him in.",1
"I am half through; The one part suffer'd, the other will I do.",1
Absolutely Awful Service.,2
"), I would not recommend them to anyone.",2
"LARTIUS: No, I'll nor sell nor give him: lend you him I will For half a hundred years.",1
The women in this class were very nasty to me and told me that I wasn't welcome to stretch out in their class.,2
"MENENIUS: Take my cap, Jupiter, and I thank thee.",1
"After ending up on the Island of Misfit Toys and wandering for a while, Rudolph goes on to save his loved ones from the Abominable Snow Monster and guides Santa through a blizzard that threatens to ruin Christmas.",2
You deserve better and they will not be there when you really need them.,2
VOLUMNIA: Then his good report should have been my son; I therein would have found issue.,1
Before I finally made it over to this range I heard the same thing from most people - it's just fine to go work on your swing.,2
It was so bad that I only ate 1/4 of it and tossed the rest.,2
where go you With bats and clubs?,2
Where did everyone go?,2
Big mistake.,2
Neat thing is that the grill is right in front of you so you can see your potatoes and eggs frying in a pool of fresh grease.,2
Does that make you a little worried?,2
"With other muniments and petty helps In this our fabric, if that they-- MENENIUS: What then?",1
"MENENIUS: He's a bear indeed, that lives like a lamb.",1
Have you ever been to some big cities in the world?,2
"I asked for hot tea, they said 10 minutes.",2
"It's not that hard to keep me updated, it is 2014 with a million ways to be contacted. Even though I have a nice deck (after I clean things up myself!",2
"Herald: Know, Rome, that all alone Marcius did fight Within Corioli gates: where he hath won, With fame, a name to Caius Marcius; these In honour follows Coriolanus.",1
AUFIDIUS: Is it not yours?,1
"Cheap, unpretentious, and, for this, one of my favorite breakfast joints in the country.",2
"After waiting for almost 30 minutes to trade in an old phone part of the buy back program, our customer service rep incorrectly processed the transaction.",2
SICINIUS: 'Twere well We let the people know't.,1
"My boyfriend got the fish sandwich, he enjoyed it as well.",2
"MARCIUS: Go, get you home, you fragments!",1
"Now that's fresh. We want to return sometime for """"turkey day."""" Apparently they made fresh turkey every Tuesday.",2
Atop the Main Building's gold dome is a golden statue of the Virgin Mary.,0
"Immediately behind the basilica is the Grotto, a Marian place of prayer and reflection.",0
"They said they were an-hungry; sigh'd forth proverbs, That hunger broke stone walls, that dogs must eat, That meat was made for mouths, that the gods sent not Corn for the rich men only: with these shreds They vented their complainings; which being answer'd, And a petition granted them, a strange one-- To break the heart of generosity, And make bold power look pale--they threw their caps As they would hang them on the horns o' the moon, Shouting their emulation.",1
No one can beat it!!!,1
"The legacy that [Jackson] left behind is bigger than life for me, Orange said.",2
"It wasn't great, but they swore it was because they'd run out of the bread.",2
The host advised us it is a 90 minute service.,2
Diner food is what's up and I like it.,2
MENENIUS: A hundred thousand welcomes.,1
BRUTUS: In that there's comfort.,1
VIRGILIA: The gods grant them true!,1
"The rooms contain a nice kitchenette area with a full sized refrigerator, sink, cabinets and two burners.",2
Found my puppy treats and moved on.,2
"I ordered some mix of eggs, bacon and pancakes - and got 2 dinner-sized plates, one loaded with pancakes and the other stuffed with eggs, bacon, and home fries.",2
A rider's love of a thoroughbred shone in them.,1
"VOLUMNIA: He had, before this last expedition, twenty-five wounds upon him.",1
"SICINIUS: Doubt not The commoners, for whom we stand, but they Upon their ancient malice will forget With the least cause these his new honours, which That he will give them make I as little question As he is proud to do't.",1
"MENENIUS: Do not cry havoc, where you should but hunt With modest warrant.",1
"Third Citizen: We have been called so of many; not that our heads are some brown, some black, some auburn, some bald, but that our wits are so diversely coloured: and truly I think if all our wits were to issue out of one skull, they would fly east, west, north, south, and their consent of one direct way should be at once to all the points o' the compass.",1
"CORIOLANUS: I'll give my reasons, More worthier than their voices.",1
"Sorry--can't wait that long to get a warranted repair, They lost my business for good.",2
CORIOLANUS: What makes this change?,1
"Our waiter looked like a 19 year old gas station attendant, skinny little blonde guy with a sweet but incredibly naive face, and an air of vapidity, which was confirmed when I placed my order.",2
"VOLUMNIA: Honourable Menenius, my boy Marcius approaches; for the love of Juno, let's go.",1
"Gentlewoman: Madam, the Lady Valeria is come to visit you.",1
"Second Citizen: Not one amongst us, save yourself, but says He used us scornfully: he should have show'd us His marks of merit, wounds received for's country.",1
"To a cruel war I sent him; from whence he returned, his brows bound with oak.",1
"This is the kind of neighborhood dive that I could see Frank and Dino pulling a few tables together for some poker, a fish sammich, and some cheap scotch.",2
We had salads and pasta.,2
This may have been the best fish sandwich I've yet to have in da burgh.,2
"COMINIUS: You shall not be The grave of your deserving; Rome must know The value of her own: 'twere a concealment Worse than a theft, no less than a traducement, To hide your doings; and to silence that, Which, to the spire and top of praises vouch'd, Would seem but modest: therefore, I beseech you In sign of what you are, not to reward What you have done--before our army hear me.",1
Truly.,2
But the best thing they have is their wings.,2
"I understand things happen and things get delayed, but just email or call me.",2
I will never go back to Flynn's b/c of the way this guy treated me and the simple fact that they gave me a used tire!,2
"Why, had your bodies No heart among you?",1
At one hour and 45 minutes complained to the manager that we still had not received out entrees.,2
Finally I called back and the admin told me that the survey could take a couple weeks to come back.,2
VOLUMNIA: He'll beat Aufidius 'head below his knee And tread upon his neck.,1
"Come on, my fellows: He that retires I'll take him for a Volsce, And he shall feel mine edge.",1
Second Citizen: And will deny him: I'll have five hundred voices of that sound.,1
Ahhhh da burgh. Third base?,2
Fifth Citizen: We hope to find you our friend; and therefore give you our voices heartily.,1
Papa J's is no longer the only game in town.,2
"As I said before, I've been to PaPa J's a good handful of times so I know the menu decently well, but the server couldn't explain any of the questions I had about a couple new dishes I was thinking about trying.",2
"I mean to stride your steed, and at all times To undercrest your good addition To the fairness of my power.",1
"After arguing with the guy and telling him that his logic was far fetched he said he'd give me a new tire """"this time"""".",2
"Upon my party, I'ld revolt to make Only my wars with him: he is a lion That I am proud to hunt.",1
"SICINIUS: We are convented Upon a pleasing treaty, and have hearts Inclinable to honour and advance The theme of our assembly.",1
The Italian had deli meat that was clearly bottom of the line and not very generous.,2
"Sixth Citizen: He has done nobly, and cannot go without any honest man's voice.",1
I had one tooth that I had a recent root canal on and a few small cavities that needed filled.,2
Both my adult children and husband have decided to leave this practice after experiencing such frustration.,2
"Messenger: The citizens of Corioli have issued, And given to Lartius and to Marcius battle: I saw our party to their trenches driven, And then I came away.",1
"CORIOLANUS: Well then, I pray, your price o' the consulship?",1
"Were he the butcher of my son, he should Be free as is the wind.",1
"Fare you well, then.",1
It's with regret that I feel that I have to give Dr. Goldberg 2 stars.,2
"Nay, keep your place.",2
"First Citizen: He shall well know The noble tribunes are the people's mouths, And we their hands.",1
"Third Citizen: We do, sir; tell us what hath brought you to't.",1
Paddy's Pour House from 2002-2012.,2
I have never felt compelled to write a bad review about anyone until I met this pathetic excuse for a doctor who is all about the money.,2
I was in so much pain for 2 weeks following the extraction.,2
CORIOLANUS: I do owe them still My life and services.,1
"Bread or not, it still wasn't great.",2
"If you want average food and terrible service, this is your place.",2
This it the very definition of diner.,2
"what barm can your bisson conspectuities glean out of this character, if I be known well enough too?",1
"As the lunch hour went on, they were getting busy. Emil's is no frills, good portions, very reasonable prices, VERY comfortable neighborhood hole in the wall...kind of like Cheers, but in a blue collar neighborhood in the 1950's.",2
or I shall shake thy bones Out of thy garments.,1
O good but most unwise patricians!,1
Second Citizen: Why that way?,1
"Papa J's is by far my favorite restaurant in Pittsburgh, my hometown.",2
"Advance, brave Titus: They do disdain us much beyond our thoughts, Which makes me sweat with wrath.",1
VALERIA: Not out of doors!,1
"In 2006, the New York Times reported that fans drove for miles to see the Rudolph and Santa Claus puppets at the Center for Puppetry Arts in Atlanta.",2
"COMINIUS: Though thou speak'st truth, Methinks thou speak'st not well.",1
"SICINIUS: This, as you say, suggested At some time when his soaring insolence Shall touch the people--which time shall not want, If he be put upon 't; and that's as easy As to set dogs on sheep--will be his fire To kindle their dry stubble; and their blaze Shall darken him for ever.",1
Visitors like to go to the film studios and to drive along Hollywood Street.,2
Could he not speak 'em fair?,1
"The fish sandwich is good and is a large portion, sides are decent.",2
"OK, its Friday night and have about 70 minutes to eat.",2
Third Citizen: He's not confirm'd; we may deny him yet.,1
"After the so called dentist - Dr Carnavali - did my exam, I needed 3 additional root canals and an extraction!",2
"Only a handful of volumes survive from this period, though some are very significant.",2
AUFIDIUS: We hate alike: Not Afric owns a serpent I abhor More than thy fame and envy.,1
"COMINIUS: Our spoils he kick'd at, And look'd upon things precious as they were The common muck of the world: he covets less Than misery itself would give; rewards His deeds with doing them, and is content To spend the time to end it.",1
"BRUTUS: Which the rather We shall be blest to do, if he remember A kinder value of the people than He hath hereto prized them at.",1
Terrible service...terrible food...this place smells like rotten wet wood,2
"What's the matter, That in these several places of the city You cry against the noble senate, who, Under the gods, keep you in awe, which else Would feed on one another?",1
Map shown on Yelp page is incorrect.,2
"What's the matter, you dissentious rogues, That, rubbing the poor itch of your opinion, Make yourselves scabs?",1
MENENIUS: He loves your people But tie him not to be their bedfellow.,1
have you chose this man?,2
MARCIUS: Will the time serve to tell?,1
VIRGILIA: His bloody brow!,1
Appalling!!,2
"Second Citizen: You are never without your tricks: you may, you may.",1
We finally got our survey.,2
"VIRGILIA: No, at a word, madam; indeed, I must not.",1
This little unassuming building with an add-on entrance with what looked like a very old hand painted sign stating quite simply 'Emil's.,2
"All in all, we'd like to go back again, but we want Jasmine!",2
Always packed here and always a wait but worth it.,2
Now that sounds good! Can't wait to return.,2
"Third Citizen: To lose itself in a fog, where being three parts melted away with rotten dews, the fourth would return for conscience sake, to help to get thee a wife.",1
This kind of service Did not deserve corn gratis.,2
"Jackson wore the glove at a 1983 performance during ""Motown 25,"" an NBC special where he debuted his revolutionary moonwalk.",2
Came here with no expectations.,2
"But that's no matter, the greater part carries it.",1
"Prices are about middle of the road for an authentic Italian place, nothing crazy.",2
"First Citizen: Should by the cormorant belly be restrain'd, Who is the sink o' the body,-- MENENIUS: Well, what then?",1
I'm writing this review to give you a heads up before you see this Doctor.,2
Atop the Main Building's gold dome is a golden statue of the Virgin Mary.,0
"CORIOLANUS: Know, good mother, I had rather be their servant in my way, Than sway with them in theirs.",1
They do unnecessary extractions so they can do a more expensive procedure such as a bridge or an implant.,2
"Hear me profess sincerely: had I a dozen sons, each in my love alike and none less dear than thine and my good Marcius, I had rather had eleven die nobly for their country than one voluptuously surfeit out of action.",1
"His heart's his mouth: What his breast forges, that his tongue must vent; And, being angry, does forget that ever He heard the name of death.",1
Obviously this is the way a simple complaint is handled by management.,2
"COMINIUS: That is the way to lay the city flat; To bring the roof to the foundation, And bury all, which yet distinctly ranges, In heaps and piles of ruin.",1
"By the elements, If e'er again I meet him beard to beard, He's mine, or I am his: mine emulation Hath not that honour in't it had; for where I thought to crush him in an equal force, True sword to sword, I'll potch at him some way Or wrath or craft may get him.",1
Seems simple. Finally we get the permit and work is supposed to start.,2
"CORIOLANUS: No, I'll die here.",1
CORIOLANUS: You are like to do such business.,1
"The Vatican Library is a research library for history, law, philosophy, science and theology.",3
"SICINIUS: You show too much of that For which the people stir: if you will pass To where you are bound, you must inquire your way, Which you are out of, with a gentler spirit, Or never be so noble as a consul, Nor yoke with him for tribune.",1
"When you finally do get inside, you see that there are 15 tables and a counter, all occupied by people from all walks of life. What's the attraction behind this flea hole?",2
"The highly prized memorabilia, which included items spanning the many stages of Jackson's career, came from more than 30 fans, associates and family members, who contacted Julien's Auctions to sell their gifts and mementos of the singer.",2
Next to the Main Building is the Basilica of the Sacred Heart.,0
"you were got in fear, Though you were born in Rome:' his bloody brow With his mail'd hand then wiping, forth he goes, Like to a harvest-man that's task'd to mow Or all or lose his hire.",1
The guys in the pro shop were two of the friendlier guys I've come across at ranges or at courses.,2
"Who sensibly outdares his senseless sword, And, when it bows, stands up.",1
"Begun as a one-page journal in September 1876, the Scholastic magazine is issued twice monthly and claims to be the oldest continuous collegiate publication in the United States.",3
Third Roman: A murrain on't!,1
"SICINIUS: Such a nature, Tickled with good success, disdains the shadow Which he treads on at noon: but I do wonder His insolence can brook to be commanded Under Cominius.",1
"Senators, &C: We'll surety him.",1
Very very oily.,2
"you herd of--Boils and plagues Plaster you o'er, that you may be abhorr'd Further than seen and one infect another Against the wind a mile!",1
First Senator: Our army's in the field We never yet made doubt but Rome was ready To answer us.,1
"First Citizen: If I must not, I need not be barren of accusations; he hath faults, with surplus, to tire in repetition.",1
My husbands salmon was burnt to a crisp and my sister in law took one bite of her trout and refused to eat any more because she claims it was so disgusting.,2
"If he have power Then vail your ignorance; if none, awake Your dangerous lenity.",1
"Also we were asked if we wanted pine nuts, feta or Gorgonzola on our salad and then were charged 2.00 extra per item in addition to the salad price (6.99) which brought the salad up to 10.99 !",2
"Created for about $5,000 each in 1964, they were valued at $8,000 to $10,000 for the pair. 322 I had to force myself in front of a cashier who opened his register to wait on the person BEHIND me. 323 This place is equipped with lights yet they only sell buckets of balls until 730. 324 The office staff and administration are very unprofessional. 325 I have done As you have done; that's what I can; induced As you have been; that's for my country: He that has but effected his good will Hath overta'en mine act. 326 Good Luck getting a seat, that's all I have to say. 327 VIRGILIA: I will wish her speedy strength, and visit her with my prayers; but I cannot go thither. 328 First Officer: Come, come, they are almost here. 329 No chicken pot pie, no shepherds pie, etc. 330 Their prices have gone way up-$400 for 4 mid-level tires for a Toyota. 331 MENENIUS: Come, enough. 332 Do yourself a favor and frequent any of the other restaurants that are within walking distance of Papa J's. 333 BRUTUS: Good or bad? 334 The french toast was made with the best Italian bread. 335 The kingly-crowned head, the vigilant eye, The counsellor heart, the arm our soldier, Our steed the leg, the tongue our trumpeter. 336 He was not screaming or belligerent in any way, shape, or form; simply informing the manager of what had occurred. 337 CORIOLANUS: Have you inform'd them sithence? 338 Senators: To Coriolanus come all joy and honour! 339 MENENIUS: And 'twas time for him too, I'll warrant him that: an he had stayed by him, I would not have been so fidiused for all the chests in Corioli, and the gold that's in them. 340 The tables, the decorations, the menu. 341 When Jerd led out this slender, beautifully built horse Lassiter suddenly became all eyes. 342 Two meals, on the recommendation of a friend who lives near the place, and after the second trip, I was compelled to write. 343 Third Citizen: We have power in ourselves to do it, but it is a power that we have no power to do; for if he show us his wounds and tell us his deeds, we are to put our tongues into those wounds and speak for them; so, if he tell us his noble deeds, we must also tell him our noble acceptance of them. 344 It is the best white pizza I have ever had. 345 But as we sat and ate, burgers came out to an adjoining table. 346 LARTIUS: Now the fair goddess, Fortune, Fall deep in love with thee; and her great charms Misguide thy opposers' swords! 347 Likewise, in 2003, when other students believed that the paper showed a liberal bias, the conservative paper Irish Rover went into production. 348 I reckon so,"" he had replied.",2
CORIOLANUS: May I change these garments?,1
"MENENIUS: The senators of Rome are this good belly, And you the mutinous members; for examine Their counsels and their cares, digest things rightly Touching the weal o' the common, you shall find No public benefit which you receive But it proceeds or comes from them to you And no way from yourselves.",1
"In a few minutes we had our wine, then in a few more seconds we had our salads and some great homemade Italian bread with some olive oil and balsamic ving.",2
"MENENIUS: Be calm, be calm.",1
MENENIUS: This is strange.,1
"The nine student-run outlets include three newspapers, both a radio and television station, and several magazines and journals.",5
"LARTIUS: He had, my lord; and that it was which caused Our swifter composition.",1
"My guess is that the entire place needs (no, strike that .... demands) an automated food/beverage ticketing system.",2
"Second Citizen: One word, good citizens.",1
"And hark, what noise the general makes!",1
Every procedure she has done to my teeth has backfired.,2
I'm glad i did too.,2
"It literally took him two trips back to the kitchen to 'ask', and the child honestly had no clue what 'white meat' and 'dark meat' meant.",2
Say we read lectures to you.,1
"Immediately behind the basilica is the Grotto, a Marian place of prayer and reflection.",0
"Went to Papa J's awhile ago and the service was bad - the waiter was surly, rude and unhelpful.. Decided to try it again since it is close to Stage 62.",2
Hell you need even less people now with the advent of the machine that doles out the balls.,1
MENENIUS: He's right noble: Let him be call'd for.,1
Let's talk about the hours.,2
"COMINIUS: Well, on to the market-place.",1
What should the people do with these bald tribunes?,1
"MENENIUS: Fie, fie, fie!",1
"My wife asked for a glass of water 4 times until she finally got it (at which point the meal was over, so we didn't care at that point).",2
Although I'm not sure I would recommend it if you're working were there's no bathrooms.,2
he was wont to come home wounded.,1
I also like the seasoned salt wings.,2
After arguing with me he ended up taking $6 off of our $200+ bill.,2
"In her fear she so controlled her mind that she did not whisper this Mormon's name to her own soul, she did not even think it.",1
"MENENIUS: You'll mar all: I'll leave you: pray you, speak to 'em, I pray you, In wholesome manner.",1
A Patrician: This man has marr'd his fortune.,1
First Citizen: Your belly's answer?,1
Nothing is served on the side with main dishes ....,2
"SICINIUS: It shall be to him then as our good wills, A sure destruction.",1
"Bad food, slow service and rude managers.",2
Go to Papa j's every once in a while but mostly for the White Pizza.,2
"the one affrights you, The other makes you proud.",1
Food was luke warm at best.,2
There's in all two worthy voices begged.,1
"CORIOLANUS: That I'll straight do; and, knowing myself again, Repair to the senate-house.",1
"MENENIUS: Why, 'tis no great matter; for a very little thief of occasion will rob you of a great deal of patience: give your dispositions the reins, and be angry at your pleasures; at the least if you take it as a pleasure to you in being so.",1
My husband and I went to Emmert Dental in Bethel Park for a routine cleaning and check up.,2
As for the rest of the place - it's always been kind of dirty inside.,2
MARCIUS: I'll fight with none but thee; for I do hate thee Worse than a promise-breaker.,1
"All Citizens: Amen, amen.",1
Can't wait to experience it!,2
Coming here you get the feeling they haven't changed much.,2
You must in no way say he is covetous.,1
"So good food, great looking place.. one bad waitress.",2
"None of the cooks, bartenders, or waitresses know who ordered what nor what ticket belongs to which table.",2
The iced tea is also terrible tasting.,2
